Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.223180.release92.star.	0	0.0435426344178134	0.0867385118866686	0.0418812982692743	0.221605605266043	0.0919398828731675	0.0599544589324051	0	0.000977214510763942	0.0150111493713094	0.0119119015566267	0.00413094577574111	0.263062625456327	0.0176338517459764	0	0	0.00106043063875296	0.014380190107321	0.028629841716997	0	0	0.0975394574748129	0	0.750044839856594	0.717590084832597
EBOVAC.224192.release92.star.	0	0.0869630917620888	0.0736992322241553	0.0600758733514755	0.08149898294238	0.0568702314098969	0.0360899101705215	0	0	0.040343940824827	0	0.0313783375038313	0.349056159712936	0.0237210401355944	0	0	0	0.0178773613635125	0.0505947695679785	0	0	0.0918310690308025	0	0.764741753428454	0.705691175315061
EBOVAC.225109.release92.star.	0	0.0269091370670059	0.0533699303913663	0.0315690730341526	0.0420623980385305	0.182311082887345	0.0567412047787816	0	0	0.0259203067229173	0.000281793832241947	0.028061483430967	0.312960036399549	0.00747115855692688	0	0	0	0.0174497526552988	0.0529931359951175	0	0	0.1618995062098	0	0.833979035984252	0.643552224591496
EBOVAC.226121.release92.star.	0	0.0679311458781763	0.0233418471650269	0.0400715660827511	0.116378519635765	0.122930514548784	0.0536900853099721	0	0	0.0468985946343135	0	0.0609734851705027	0.243363809232477	0.00327806974063619	0	0.0141851562201185	0.00270095836456882	0.0140154576351238	0.0625488799690817	0	0	0.127691910412703	0	0.839747882758118	0.654238658335311
EBOVAC.227133.release92.star.	0.0061607586634822	0.0678411625954286	0.102795538906655	0.0687757355580953	0.112608188998905	0.119742117922252	0.0948279312510218	0	0	0	0.000366701559332542	0.0557935837561078	0.193912197198277	0.0129516345182236	0	0	0	0.0365916686990587	0.05330446120602	0	0	0.074328319167141	0	0.677383660294985	0.774545024737464
EBOVAC.228145.release92.star.	0	0.0524765532987909	0.212841725126227	0.0204073742246963	0.159985320143077	0.0806651607915514	0.0462264718913811	0	0	0.0159430220452854	0.00860727926419556	0.00397349966086482	0.232301728523269	0.00596901321865078	0	0	0	0.0222884104151126	0.0179541498688756	0	0	0.120360291528023	0	0.621261348637366	0.794794862202714
EBOVAC.229157.release92.star.	0	0.059906110313102	0.0606480010338278	0.0556582738709902	0.163264415025555	0.12815736326676	0.0598873621398818	0	0	0.00396009112304069	0	0.00937245777569961	0.294808010490849	0.0184071880946897	0	0	0	0.0433991913590818	0.0258797356693101	0	0	0.0766517998372125	0	0.844825021216838	0.656869849867837
EBOVAC.230169.release92.star.	0.0173123521067969	0.00565950831072545	0.154484521188038	0.0860355032116327	0.0824736342524935	0.100829937247801	0.0438019330455193	0	0	0	0.043896119501045	0.00127270160500952	0.322744232652241	0.00148166747992518	0	0	0	0.014379833462341	0.0314080926814157	0	0	0.0942199632550156	0	0.733442861531272	0.72659847781455
EBOVAC.231181.release92.star.	0	0.0314607676012153	0.064627988738154	0.0508118363964733	0.16128437719514	0.116384968533737	0.058974141330217	0	0	0.00211296580395428	0	0.0144548270641782	0.315502686104288	0.00355951929486176	0	0	0	0.0120370653543275	0.0328494962088201	0	0	0.135939360374634	0	0.805110624967695	0.666982210653696
EBOVAC.232193.release92.star.	0	0.0449284484087588	0.0343817352277139	0.0631525413093799	0.0824743322429288	0.16798549623495	0.0438470876436437	0	0	0.0221229805487597	0	0.0519074053266488	0.315302519313861	0.00168485936070815	0	0	0.00175767514027465	0.0179047300872297	0.0529462686239287	0	0	0.0996039205312147	0	0.847169883357204	0.643607704444091
EBOVAC.233110.release92.star.	0	0.0480942815606162	0.0581828975755628	0.0534329059594103	0.0657786050229215	0.122199340630889	0.0687986597808866	0	0	0.0246471928014481	0	0.0250313014675153	0.298057918874663	0.00782703556412888	0	0	0	0.017120651606575	0.0474049802989569	0	0	0.163424228856427	0	0.774230061257301	0.691400834806126
EBOVAC.234122.release92.star.	0	0.0734507070347345	0.0526299968860693	0.0475364077358833	0.0941819787426904	0.169999724890138	0.0500382817344363	0	0	0.0183654531606024	0	0.0459036709133065	0.256777455187439	0.0109195873578265	0	0	0	0.0366537248594322	0.0545831013634379	0	0	0.0889599101340041	0	0.799709157009475	0.693550595694593
