Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.214167.release92.star.	0	0.0539499147918561	0.0489564960260186	0.0204099310858151	0.109768318063289	0.12863878405301	0.0619879341623282	0	0	0.00857536819463116	0	0.0477390191608251	0.250227076164543	0	0	0	0.00197146139650001	0.0136037527908728	0.0557699386681671	0	0	0.198402005442143	0.032	0.257164127558057	0.995883647458782
EBOVAC.215179.release92.star.	0.0145810818630111	0.0189481210184032	0.0354463863226564	0.0509091485412404	0.142272965840134	0.0775005240998124	0.0681959351618224	0	0	0.0617420071132848	0	0.0174000492221808	0.241856268360721	0.00214059398635607	0	0	0	0.0710405702532722	0.00263099146450773	0	0	0.195335356752598	0.054	0.186159142067787	1.03404209112747
EBOVAC.216191.release92.star.	0.0170524502040829	0.0516862404767431	0.0516046425959506	0.0415919537371235	0.125533534836572	0.0202457536402952	0.0553824493574413	0	0	0.0206240669894776	0	0.0659885030684239	0.336528205933347	0.00885111521919333	0	0	0	0.0568451271278412	0.0217475896224538	0	0	0.126318367191054	0.03	0.264020473925101	0.989458802242831
EBOVAC.217108.release92.star.	0	0.0474019872008834	0.0674719808478308	0.0328483393527363	0.102167099403916	0.0879932564401863	0.0667236112565493	0	0	0.0449413738094257	0	0.0500337649554332	0.274985201537366	0.0218608146742731	0	0	0.00900741867084809	0.00911203228454653	0.0635593390413579	0	0	0.121893780524647	0.023	0.295066158957854	0.968693244381671
EBOVAC.218120.release92.star.	0	0.0716575717143436	0.0324216690168315	0.0455278795480547	0.141913763225483	0.0531899400139292	0.107173227055134	0	0	0.0106080932763263	0	0.0419693191138614	0.240649443198253	0.00905538806001317	0	0	0	0.0523757545732547	0.0592302609209614	0	0	0.134227690283554	0.044	0.208160530959837	1.00662319593772
EBOVAC.219132.release92.star.	0	0.0674686947927306	0.0356517780178998	0.0184111579133042	0.189478158143843	0.0961876993169401	0.0700415072199217	0	0	0	0	0.0429966018182329	0.251051767970753	0.00569372234170959	0	0	0.0033953942739244	0.0279143397157347	0.0584013873334624	0	0	0.133307791141544	0.01	0.36696331398113	0.934463205449813
EBOVAC.220144.release92.star.	0	0.0595615754136853	0.047011013801144	0.0476532617628085	0.139185961754581	0.0260356172400912	0.070433349297111	0	0.00685543580889243	0.00266405661993397	0	0.0280256533960751	0.357023610883354	0.00843759159025965	0	0	0	0.0496223965160762	0.0359295019479047	0	0	0.121560973968083	0.043	0.210038819815057	1.01506260849953
EBOVAC.221156.release92.star.	0	0.0562679225354002	0.0575464749996627	0.0517923275886724	0.115409584881958	0.127115869457071	0.0367048627682535	0	0	0.0183778955357912	0	0.0312113574506273	0.313913573555834	0.0137515026570921	0	0	0	0.044935522839786	0.0244985986336291	0	0	0.108474507096223	0.00900000000000001	0.410380004414739	0.913150882229959
EBOVAC.222168.release92.star.	0	0.0607303060930662	0.0514164615450629	0.0522767410295024	0.101310978078296	0.123762396446038	0.0306288256700891	0	0	0.0114590160184943	0	0.0294156509206827	0.344402085520561	0.0146480818405306	0	0	0	0.0442311317601111	0.0113497175720849	0	0	0.124368607505481	0.01	0.3724696102041	0.935239563070925
EBOVAC.223180.release92.star.	0	0.0642431239669838	0.0636793736987562	0.0402409023143053	0.220160039469454	0.0980776447912154	0.0600971156920712	0	0	0.0152694825293504	0	0.0290858024712071	0.260129369661998	0.025636772368615	0	0	0.00116197355861147	0	0.0473943597112416	0	0	0.0748240397661909	0.039	0.225333329169228	1.00138689964976
EBOVAC.224192.release92.star.	0	0.0739392892503264	0.0717064050642164	0.0582883896561475	0.0935980010077994	0.051516335869009	0.0331614635520247	0	0	0.0422361081802726	0	0.0384704784042471	0.357401634284458	0.0180134936133822	0	0	0	0.0511424859631458	0.0127363168705153	0	0	0.0977895982844557	0.01	0.361489017930875	0.939387472612686
EBOVAC.225109.release92.star.	0	0.0509167454057074	0.0425193969242844	0.0372855900097197	0.0788156620818104	0.152418061606025	0.0651627123598603	0	0	0.02183405816231	0	0.0312568570705194	0.281093688278784	0.00667377844336814	0	0	0	0.0465962322044665	0.0443633657375592	0	0	0.141063851715585	0.01	0.379315105984532	0.929002222860023
EBOVAC.226121.release92.star.	0	0.0411720147444947	0.0382275143194105	0.0450681763541267	0.073173029223128	0.197628497580237	0.108230077518685	0	0	0.0154895192206401	0	0.0755885754964076	0.179393392737224	0	0	0	0.0085584821260227	0.0508323083355169	0.0387374399859529	0	0	0.127900972358154	0.054	0.185125501821741	1.02031375070342
EBOVAC.227133.release92.star.	0.00778440854621326	0.0328637242063508	0.102262292709373	0.0644717815401683	0.145719123204546	0.125766183627508	0.0948173958412844	0	0	0	0	0.0665871582347626	0.184664010482909	0.0147211305115641	0	0	0	0.0653492681113342	0.0261839799881223	0	0	0.068809542995863	0.024	0.28377280243848	0.970587457408246
EBOVAC.228145.release92.star.	0	0.0400299977287028	0.216527920192488	0.0194153909669138	0.163130276831798	0.0924003740520836	0.0529921817600788	0	0	0.00477456464369905	0	0.0176716822818784	0.247430308218048	0.0190771138933947	0	0	0	0.00900420101747441	0.0321438425434252	0	0	0.0854021458700156	0.00900000000000001	0.407477256688538	0.914435727800607
EBOVAC.229157.release92.star.	0	0.0596430154020614	0.0504475387153212	0.0487612615688584	0.11620910623792	0.134211628167217	0.0410521626747922	0	0.00862502526993967	0.00456515074529876	0	0.0622320146394479	0.281051768985306	0.0214600562402214	0	0	0	0.0504983827268031	0.0397668035695495	0	0	0.0814760850572631	0.00900000000000001	0.383302201848192	0.925187870885515
EBOVAC.230169.release92.star.	0	0.0401721370894356	0.0836443857615776	0.0781655110106581	0.141302247613502	0.0804283032050427	0.0575727562848549	0	0	0	0.0241654054269003	0.0169110098515285	0.325321455220799	0.00932673973826301	0	0	0	0.0690715607856571	0.00433814160592543	0	0	0.0695803464058553	0.024	0.285831745233779	0.973064907567775
EBOVAC.231181.release92.star.	0	0.0617772782072309	0.0677324730102331	0.0677110424536185	0.138708703161167	0.0645752813933591	0.0464249398744972	0	0.0048065789510752	0.0120236855599719	0	0.0156104446958351	0.324812805448924	0.00420180541817143	0	0	0	0.0518125172610492	0.0193166747622883	0	0	0.12048576980258	0.01	0.370647563533433	0.934389599867472
EBOVAC.232193.release92.star.	0	0.0441947146023551	0.0592679892725612	0.0788306423882506	0.0850359820887831	0.17798742851119	0.0480128635044652	0	0	0.0113254775039807	0	0.0481933793279532	0.259362037360906	0.00380039627987856	0	0	0	0.0511175341857415	0.0438630181653206	0	0	0.089008536808614	0.00800000000000001	0.425182847663062	0.904524141287648
EBOVAC.233110.release92.star.	0	0.0440625353296824	0.0549195288413981	0.0492188095992945	0.080345672209896	0.0736154403945325	0.0947534497920891	0	0	0.0347231527622459	0	0.0219288274868304	0.306322208600776	0.0205439080401514	0	0	0	0.0531444455231293	0.0478040174135003	0	0	0.118618004006473	0.01	0.356143170045222	0.939019905630151
EBOVAC.234122.release92.star.	0	0.0715909735073878	0.0527647326375261	0.043242947692758	0.085302315238598	0.142022859061759	0.078731328724845	0	0	0.0325864265341783	0	0.0358022974049731	0.265234448846089	0.011534080039446	0	0	0	0.0443775815871413	0.0496379815517658	0	0	0.0871720271735328	0.00900000000000001	0.393975323968744	0.919311795215443
